main item,sub item,region/currency,Period,waarde
Term loans,"Euro currency market, one-month deposits",Euro,2024-09,3.413
Term loans,"Euro currency market, three-month deposits",Euro,2024-09,3.402
Term loans,"Euro currency market, six-month deposits",Euro,2024-09,3.256
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-09,2.975
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-09,4.947
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-09,4.857
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-09,4.585
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-09,4.2
Term loans,"Euro currency market, one-month deposits",Yen,2024-09,-0.176
Term loans,"Euro currency market, three-month deposits",Yen,2024-09,-0.082
Term loans,"Euro currency market, six-month deposits",Yen,2024-09,0.056
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-09,0.19
Central government bonds,10 year,Euro area,2024-09,2.834
Central government bonds,10 year,United states,2024-09,3.724
Central government bonds,10 year,Japan,2024-09,0.865
Central government bonds,10 year,Netherlands,2024-09,2.469
Term loans,"Euro currency market, one-month deposits",Euro,2023-08,3.641
Term loans,"Euro currency market, three-month deposits",Euro,2023-08,3.752
Term loans,"Euro currency market, six-month deposits",Euro,2023-08,3.9
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-08,4.008
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-08,5.313
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-08,5.481
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-08,5.743
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-08,5.805
Term loans,"Euro currency market, one-month deposits",Yen,2023-08,-0.319
Term loans,"Euro currency market, three-month deposits",Yen,2023-08,-0.264
Term loans,"Euro currency market, six-month deposits",Yen,2023-08,-0.209
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-08,-0.06
Central government bonds,10 year,Euro area,2023-08,3.343
Central government bonds,10 year,United states,2023-08,4.168
Central government bonds,10 year,Japan,2023-08,0.628
Central government bonds,10 year,Netherlands,2023-08,2.917
Term loans,"Euro currency market, one-month deposits",Euro,2024-07,3.621
Term loans,"Euro currency market, three-month deposits",Euro,2024-07,3.641
Term loans,"Euro currency market, six-month deposits",Euro,2024-07,3.581
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-07,3.519
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-07,5.29
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-07,5.319
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-07,5.29
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-07,5.163
Term loans,"Euro currency market, one-month deposits",Yen,2024-07,-0.195
Term loans,"Euro currency market, three-month deposits",Yen,2024-07,-0.132
Term loans,"Euro currency market, six-month deposits",Yen,2024-07,-0.017
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-07,0.145
Central government bonds,10 year,Euro area,2024-07,3.112
Central government bonds,10 year,United states,2024-07,4.249
Central government bonds,10 year,Japan,2024-07,1.033
Central government bonds,10 year,Netherlands,2024-07,2.765
Term loans,"Euro currency market, one-month deposits",Euro,2024-11,3.084
Term loans,"Euro currency market, three-month deposits",Euro,2024-11,2.984
Term loans,"Euro currency market, six-month deposits",Euro,2024-11,2.729
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-11,2.497
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-11,4.541
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-11,4.497
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-11,4.486
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-11,4.551
Term loans,"Euro currency market, one-month deposits",Yen,2024-11,-0.081
Term loans,"Euro currency market, three-month deposits",Yen,2024-11,-0.108
Term loans,"Euro currency market, six-month deposits",Yen,2024-11,0.109
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-11,0.292
Central government bonds,10 year,Euro area,2024-11,2.929
Central government bonds,10 year,United states,2024-11,4.356
Central government bonds,10 year,Japan,2024-11,1.028
Central government bonds,10 year,Netherlands,2024-11,2.567
Term loans,"Euro currency market, one-month deposits",Euro,2023-11,3.819
Term loans,"Euro currency market, three-month deposits",Euro,2023-11,3.874
Term loans,"Euro currency market, six-month deposits",Euro,2023-11,3.905
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-11,3.977
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-11,5.333
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-11,5.531
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-11,5.618
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-11,5.652
Term loans,"Euro currency market, one-month deposits",Yen,2023-11,-0.34
Term loans,"Euro currency market, three-month deposits",Yen,2023-11,-0.405
Term loans,"Euro currency market, six-month deposits",Yen,2023-11,-0.167
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-11,-0.045
Central government bonds,10 year,Euro area,2023-11,3.42
Central government bonds,10 year,United states,2023-11,4.503
Central government bonds,10 year,Japan,2023-11,0.806
Central government bonds,10 year,Netherlands,2023-11,2.95
Term loans,"Euro currency market, one-month deposits",Euro,2024-06,3.653
Term loans,"Euro currency market, three-month deposits",Euro,2024-06,3.706
Term loans,"Euro currency market, six-month deposits",Euro,2024-06,3.693
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-06,3.644
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-06,5.324
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-06,5.375
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-06,5.394
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-06,5.384
Term loans,"Euro currency market, one-month deposits",Yen,2024-06,-0.26
Term loans,"Euro currency market, three-month deposits",Yen,2024-06,-0.156
Term loans,"Euro currency market, six-month deposits",Yen,2024-06,0.002
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-06,0.062
Central government bonds,10 year,Euro area,2024-06,3.166
Central government bonds,10 year,United states,2024-06,4.305
Central government bonds,10 year,Japan,2024-06,0.984
Central government bonds,10 year,Netherlands,2024-06,2.822
Term loans,"Euribor, one-week",Euro area,2023-02,2.297
Term loans,"Euribor, one-month",Euro area,2023-02,2.369
Term loans,"Euribor, three-month",Euro area,2023-02,2.64
Term loans,"Euribor, six-month",Euro area,2023-02,3.135
Term loans,"Euribor, twelve-month",Euro area,2023-02,3.534
Term loans,"Euro currency market, one-month deposits",Euro,2023-02,2.4
Term loans,"Euro currency market, three-month deposits",Euro,2023-02,2.691
Term loans,"Euro currency market, six-month deposits",Euro,2023-02,3.078
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-02,3.554
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-02,4.585
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-02,4.778
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-02,5.051
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-02,5.342
Term loans,"Euro currency market, one-month deposits",Yen,2023-02,-0.276
Term loans,"Euro currency market, three-month deposits",Yen,2023-02,-0.276
Term loans,"Euro currency market, six-month deposits",Yen,2023-02,-0.22
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-02,-0.174
Central government bonds,10 year,Euro area,2023-02,3.223
Central government bonds,10 year,United states,2023-02,3.747
Central government bonds,10 year,Japan,2023-02,0.497
Central government bonds,10 year,Netherlands,2023-02,2.678
Term loans,"Euro currency market, one-month deposits",Euro,2024-05,3.821
Term loans,"Euro currency market, three-month deposits",Euro,2024-05,3.779
Term loans,"Euro currency market, six-month deposits",Euro,2024-05,3.767
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-05,3.69
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-05,5.31
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-05,5.378
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-05,5.401
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-05,5.457
Term loans,"Euro currency market, one-month deposits",Yen,2024-05,-0.2
Term loans,"Euro currency market, three-month deposits",Yen,2024-05,-0.153
Term loans,"Euro currency market, six-month deposits",Yen,2024-05,-0.003
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-05,0.056
Central government bonds,10 year,Euro area,2024-05,3.121
Central government bonds,10 year,United states,2024-05,4.482
Central government bonds,10 year,Japan,2024-05,0.956
Central government bonds,10 year,Netherlands,2024-05,2.829
Term loans,"Euro currency market, one-month deposits",Euro,2023-06,3.348
Term loans,"Euro currency market, three-month deposits",Euro,2023-06,3.523
Term loans,"Euro currency market, six-month deposits",Euro,2023-06,3.769
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-06,3.925
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-06,5.243
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-06,5.395
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-06,5.54
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-06,5.737
Term loans,"Euro currency market, one-month deposits",Yen,2023-06,-0.263
Term loans,"Euro currency market, three-month deposits",Yen,2023-06,-0.231
Term loans,"Euro currency market, six-month deposits",Yen,2023-06,-0.189
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-06,-0.121
Central government bonds,10 year,Euro area,2023-06,3.165
Central government bonds,10 year,United states,2023-06,3.748
Central government bonds,10 year,Japan,2023-06,0.406
Central government bonds,10 year,Netherlands,2023-06,2.75
Term loans,"Euro currency market, one-month deposits",Euro,2024-01,3.857
Term loans,"Euro currency market, three-month deposits",Euro,2024-01,3.834
Term loans,"Euro currency market, six-month deposits",Euro,2024-01,3.865
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-01,3.603
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-01,5.284
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-01,5.318
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-01,5.247
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-01,5.127
Term loans,"Euro currency market, one-month deposits",Yen,2024-01,-0.295
Term loans,"Euro currency market, three-month deposits",Yen,2024-01,-0.325
Term loans,"Euro currency market, six-month deposits",Yen,2024-01,-0.14
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-01,-0.013
Central government bonds,10 year,Euro area,2024-01,2.904
Central government bonds,10 year,United states,2024-01,4.058
Central government bonds,10 year,Japan,2024-01,0.628
Central government bonds,10 year,Netherlands,2024-01,2.506
Term loans,"Euro currency market, one-month deposits",Euro,2023-07,3.516
Term loans,"Euro currency market, three-month deposits",Euro,2023-07,3.68
Term loans,"Euro currency market, six-month deposits",Euro,2023-07,3.823
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-07,4.099
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-07,5.256
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-07,5.423
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-07,5.688
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-07,5.868
Term loans,"Euro currency market, one-month deposits",Yen,2023-07,-0.265
Term loans,"Euro currency market, three-month deposits",Yen,2023-07,-0.243
Term loans,"Euro currency market, six-month deposits",Yen,2023-07,-0.213
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-07,-0.093
Central government bonds,10 year,Euro area,2023-07,3.269
Central government bonds,10 year,United states,2023-07,3.9
Central government bonds,10 year,Japan,2023-07,0.448
Central government bonds,10 year,Netherlands,2023-07,2.84
Term loans,"Euro currency market, one-month deposits",Euro,2023-09,3.767
Term loans,"Euro currency market, three-month deposits",Euro,2023-09,3.836
Term loans,"Euro currency market, six-month deposits",Euro,2023-09,3.936
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-09,4.068
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-09,5.339
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-09,5.504
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-09,5.707
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-09,5.83
Term loans,"Euro currency market, one-month deposits",Yen,2023-09,-0.462
Term loans,"Euro currency market, three-month deposits",Yen,2023-09,-0.362
Term loans,"Euro currency market, six-month deposits",Yen,2023-09,-0.134
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-09,-0.049
Central government bonds,10 year,Euro area,2023-09,3.506
Central government bonds,10 year,United states,2023-09,4.379
Central government bonds,10 year,Japan,2023-09,0.697
Central government bonds,10 year,Netherlands,2023-09,3.036
Term loans,"Euro currency market, one-month deposits",Euro,2024-02,3.85
Term loans,"Euro currency market, three-month deposits",Euro,2024-02,3.836
Term loans,"Euro currency market, six-month deposits",Euro,2024-02,3.837
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-02,3.692
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-02,5.314
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-02,5.326
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-02,5.309
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-02,5.267
Term loans,"Euro currency market, one-month deposits",Yen,2024-02,-0.26
Term loans,"Euro currency market, three-month deposits",Yen,2024-02,-0.313
Term loans,"Euro currency market, six-month deposits",Yen,2024-02,-0.079
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-02,0.007
Central government bonds,10 year,Euro area,2024-02,3.025
Central government bonds,10 year,United states,2024-02,4.208
Central government bonds,10 year,Japan,2024-02,0.711
Central government bonds,10 year,Netherlands,2024-02,2.643
Term loans,"Euro currency market, one-month deposits",Euro,2024-12,2.921
Term loans,"Euro currency market, three-month deposits",Euro,2024-12,2.824
Term loans,"Euro currency market, six-month deposits",Euro,2024-12,2.582
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-12,2.411
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-12,4.411
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-12,4.4
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-12,4.4
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-12,4.457
Term loans,"Euro currency market, one-month deposits",Yen,2024-12,-0.039
Term loans,"Euro currency market, three-month deposits",Yen,2024-12,-0.043
Term loans,"Euro currency market, six-month deposits",Yen,2024-12,0.156
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-12,0.386
Central government bonds,10 year,Euro area,2024-12,2.812
Central government bonds,10 year,United states,2024-12,4.391
Central government bonds,10 year,Japan,2024-12,1.061
Term loans,"Euro currency market, one-month deposits",Euro,2024-04,3.879
Term loans,"Euro currency market, three-month deposits",Euro,2024-04,3.865
Term loans,"Euro currency market, six-month deposits",Euro,2024-04,3.804
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-04,3.682
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-04,5.285
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-04,5.312
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-04,5.379
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-04,5.41
Term loans,"Euro currency market, one-month deposits",Yen,2024-04,-0.222
Term loans,"Euro currency market, three-month deposits",Yen,2024-04,-0.206
Term loans,"Euro currency market, six-month deposits",Yen,2024-04,-0.005
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-04,0.013
Central government bonds,10 year,Euro area,2024-04,3.074
Central government bonds,10 year,United states,2024-04,4.539
Central government bonds,10 year,Japan,2024-04,0.816
Central government bonds,10 year,Netherlands,2024-04,2.718
Term loans,"Euro currency market, one-month deposits",Euro,2024-10,3.184
Term loans,"Euro currency market, three-month deposits",Euro,2024-10,3.132
Term loans,"Euro currency market, six-month deposits",Euro,2024-10,2.952
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-10,2.714
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-10,4.706
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-10,4.647
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-10,4.503
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-10,4.405
Term loans,"Euro currency market, one-month deposits",Yen,2024-10,-0.11
Term loans,"Euro currency market, three-month deposits",Yen,2024-10,-0.203
Term loans,"Euro currency market, six-month deposits",Yen,2024-10,0.02
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-10,0.19
Central government bonds,10 year,Euro area,2024-10,2.866
Central government bonds,10 year,United states,2024-10,4.096
Central government bonds,10 year,Japan,2024-10,0.909
Term loans,"Euribor, one-week",Euro area,2023-01,1.888
Term loans,"Euribor, one-month",Euro area,2023-01,1.981
Term loans,"Euribor, three-month",Euro area,2023-01,2.345
Term loans,"Euribor, six-month",Euro area,2023-01,2.858
Term loans,"Euribor, twelve-month",Euro area,2023-01,3.337
Term loans,"Euro currency market, one-month deposits",Euro,2023-01,2.058
Term loans,"Euro currency market, three-month deposits",Euro,2023-01,2.379
Term loans,"Euro currency market, six-month deposits",Euro,2023-01,2.815
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-01,3.311
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-01,4.489
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-01,4.698
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-01,4.961
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-01,5.197
Term loans,"Euro currency market, one-month deposits",Yen,2023-01,-0.26
Term loans,"Euro currency market, three-month deposits",Yen,2023-01,-0.255
Term loans,"Euro currency market, six-month deposits",Yen,2023-01,-0.198
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-01,-0.08
Central government bonds,10 year,Euro area,2023-01,3.044
Central government bonds,10 year,United states,2023-01,3.532
Central government bonds,10 year,Japan,2023-01,0.324
Central government bonds,10 year,Netherlands,2023-01,2.499
Term loans,"Euro currency market, one-month deposits",Euro,2023-04,2.958
Term loans,"Euro currency market, three-month deposits",Euro,2023-04,3.183
Term loans,"Euro currency market, six-month deposits",Euro,2023-04,3.47
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-04,3.727
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-04,4.961
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-04,5.129
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-04,5.254
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-04,5.28
Term loans,"Euro currency market, one-month deposits",Yen,2023-04,-0.278
Term loans,"Euro currency market, three-month deposits",Yen,2023-04,-0.256
Term loans,"Euro currency market, six-month deposits",Yen,2023-04,-0.198
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-04,-0.088
Central government bonds,10 year,Euro area,2023-04,3.193
Central government bonds,10 year,United states,2023-04,3.46
Central government bonds,10 year,Japan,2023-04,0.412
Central government bonds,10 year,Netherlands,2023-04,2.719
Term loans,"Euro currency market, one-month deposits",Euro,2023-10,3.87
Term loans,"Euro currency market, three-month deposits",Euro,2023-10,3.901
Term loans,"Euro currency market, six-month deposits",Euro,2023-10,4.025
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-10,4.086
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-10,5.314
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-10,5.615
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-10,5.68
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-10,5.795
Term loans,"Euro currency market, one-month deposits",Yen,2023-10,-0.404
Term loans,"Euro currency market, three-month deposits",Yen,2023-10,-0.432
Term loans,"Euro currency market, six-month deposits",Yen,2023-10,-0.16
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-10,-0.084
Central government bonds,10 year,Euro area,2023-10,3.724
Central government bonds,10 year,United states,2023-10,4.798
Central government bonds,10 year,Japan,2023-10,0.798
Central government bonds,10 year,Netherlands,2023-10,3.207
Term loans,"Euro currency market, one-month deposits",Euro,2023-05,3.157
Term loans,"Euro currency market, three-month deposits",Euro,2023-05,3.35
Term loans,"Euro currency market, six-month deposits",Euro,2023-05,3.583
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-05,3.73
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-05,5.189
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-05,5.307
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-05,5.371
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-05,5.33
Term loans,"Euro currency market, one-month deposits",Yen,2023-05,-0.243
Term loans,"Euro currency market, three-month deposits",Yen,2023-05,-0.249
Term loans,"Euro currency market, six-month deposits",Yen,2023-05,-0.209
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-05,-0.1
Central government bonds,10 year,Euro area,2023-05,3.206
Central government bonds,10 year,United states,2023-05,3.574
Central government bonds,10 year,Japan,2023-05,0.412
Central government bonds,10 year,Netherlands,2023-05,2.728
Term loans,"Euribor, one-week",Euro area,2023-03,2.373
Term loans,"Euribor, one-month",Euro area,2023-03,2.53
Term loans,"Euribor, three-month",Euro area,2023-03,2.862
Term loans,"Euribor, six-month",Euro area,2023-03,3.377
Term loans,"Euribor, twelve-month",Euro area,2023-03,3.85
Term loans,"Euro currency market, one-month deposits",Euro,2023-03,2.791
Term loans,"Euro currency market, three-month deposits",Euro,2023-03,2.969
Term loans,"Euro currency market, six-month deposits",Euro,2023-03,3.293
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-03,3.53
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-03,4.869
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-03,5.033
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-03,5.118
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-03,5.225
Term loans,"Euro currency market, one-month deposits",Yen,2023-03,-0.378
Term loans,"Euro currency market, three-month deposits",Yen,2023-03,-0.249
Term loans,"Euro currency market, six-month deposits",Yen,2023-03,-0.208
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-03,-0.21
Central government bonds,10 year,Euro area,2023-03,3.233
Central government bonds,10 year,United states,2023-03,3.663
Central government bonds,10 year,Japan,2023-03,0.365
Central government bonds,10 year,Netherlands,2023-03,2.758
Central government bonds,10 year,Netherlands,2023-12,2.422
Central government bonds,10 year,Euro area,2023-12,2.866
Central government bonds,10 year,Japan,2023-12,0.669
Central government bonds,10 year,United states,2023-12,4.02
Term loans,"Euro currency market, one-month deposits",Yen,2023-12,-0.508
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-12,5.424
Term loans,"Euro currency market, one-month deposits",Euro,2023-12,3.83
Term loans,"Euro currency market, three-month deposits",Yen,2023-12,-0.407
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-12,5.411
Term loans,"Euro currency market, three-month deposits",Euro,2023-12,3.852
Term loans,"Euro currency market, six-month deposits",Yen,2023-12,-0.158
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-12,5.437
Term loans,"Euro currency market, six-month deposits",Euro,2023-12,3.885
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-12,0.051
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-12,5.338
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-12,3.638
Term loans,"Euro currency market, one-month deposits",Euro,2024-08,3.588
Term loans,"Euro currency market, three-month deposits",Euro,2024-08,3.514
Term loans,"Euro currency market, six-month deposits",Euro,2024-08,3.385
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-08,3.141
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-08,5.261
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-08,5.156
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-08,4.969
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-08,4.673
Term loans,"Euro currency market, one-month deposits",Yen,2024-08,-0.125
Term loans,"Euro currency market, three-month deposits",Yen,2024-08,-0.077
Term loans,"Euro currency market, six-month deposits",Yen,2024-08,0.037
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-08,0.115
Central government bonds,10 year,Euro area,2024-08,2.906
Central government bonds,10 year,United states,2024-08,3.871
Central government bonds,10 year,Japan,2024-08,0.887
Central government bonds,10 year,Netherlands,2024-08,2.531
Term loans,"Euro currency market, one-month deposits",Euro,2024-03,3.875
Term loans,"Euro currency market, three-month deposits",Euro,2024-03,3.907
Term loans,"Euro currency market, six-month deposits",Euro,2024-03,3.889
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-03,3.72
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-03,5.272
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-03,5.301
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-03,5.303
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-03,5.308
Term loans,"Euro currency market, one-month deposits",Yen,2024-03,-0.3
Term loans,"Euro currency market, three-month deposits",Yen,2024-03,-0.278
Term loans,"Euro currency market, six-month deposits",Yen,2024-03,-0.038
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-03,0.021
Central government bonds,10 year,Euro area,2024-03,2.953
Central government bonds,10 year,United states,2024-03,4.208
Central government bonds,10 year,Japan,2024-03,0.734
Central government bonds,10 year,Netherlands,2024-03,2.616
Central government bonds,10 year,Netherlands,2024-10,2.533
Central government bonds,10 year,Netherlands,2024-12,2.447
Term loans,"Euro currency market, one-month deposits",Euro,2025-02,2.579
Term loans,"Euro currency market, three-month deposits",Euro,2025-02,2.531
Term loans,"Euro currency market, six-month deposits",Euro,2025-02,2.422
Term loans,"Euro currency market, twelve-month deposits",Euro,2025-02,2.384
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2025-02,4.241
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2025-02,4.31
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2025-02,4.351
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2025-02,4.423
Term loans,"Euro currency market, one-month deposits",Yen,2025-02,0.344
Term loans,"Euro currency market, three-month deposits",Yen,2025-02,0.234
Term loans,"Euro currency market, six-month deposits",Yen,2025-02,0.326
Term loans,"Euro currency market, twelve-month deposits",Yen,2025-02,0.458
Central government bonds,10 year,Euro area,2025-02,2.989
Central government bonds,10 year,United states,2025-02,4.451
Central government bonds,10 year,Japan,2025-02,1.346
Central government bonds,10 year,Netherlands,2025-02,2.629
Term loans,"Euro currency market, one-month deposits",Euro,2025-05,2.083
Term loans,"Euro currency market, three-month deposits",Euro,2025-05,2.044
Term loans,"Euro currency market, six-month deposits",Euro,2025-05,2.003
Term loans,"Euro currency market, twelve-month deposits",Euro,2025-05,2.05
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2025-05,4.294
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2025-05,4.39
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2025-05,4.389
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2025-05,4.329
Term loans,"Euro currency market, one-month deposits",Yen,2025-05,0.349
Term loans,"Euro currency market, three-month deposits",Yen,2025-05,0.334
Term loans,"Euro currency market, six-month deposits",Yen,2025-05,0.38
Term loans,"Euro currency market, twelve-month deposits",Yen,2025-05,0.538
Central government bonds,10 year,Euro area,2025-05,3.071
